income,loan_amount,credit_history,status
50000,20000,1,Approved
60000,30000,1,Approved
70000,40000,1,Approved
45000,50000,1,Approved
80000,25000,1,Approved
15000,50000,1,Rejected
12000,60000,0,Rejected
18000,90000,0,Rejected
25000,100000,0,Rejected
30000,150000,0,Rejected
90000,30000,1,Approved
100000,50000,1,Approved
20000,80000,0,Rejected
22000,120000,0,Rejected
55000,25000,1,Approved
65000,35000,1,Approved
14000,70000,0,Rejected
17000,90000,0,Rejected
75000,45000,1,Approved
85000,50000,1,Approved
